Filename,Mean Pitch (Hz),Mean F1 (Hz),Mean F2 (Hz),Mean Intensity (dB)
a_178bt3.wav,296.2151733,582.7661212,1399.283346,79.19108944
a_178bt4.wav,296.8689622,739.586486,1521.961981,82.70620306
a_181bt1.wav,264.9591388,655.0784176,1236.757133,78.39328962
a_181bt2.wav,257.2471805,664.7741975,1118.52979,73.8879434
a_181bt3.wav,264.2654168,689.3985377,1235.697922,73.54000602
a_181bt4.wav,255.8322136,762.2605532,1215.582405,75.22942971
a_183bt1.wav,291.1321244,649.2783346,1525.470976,80.97986686
a_183bt2.wav,295.4162201,632.3548893,1746.932828,76.18792057
a_183bt3.wav,283.4773107,610.4329074,1467.333006,81.00594688
a_183bt4.wav,267.6629145,619.6411337,1528.977773,81.41202575
a_185bt1.wav,328.5491773,791.8049955,1418.042383,80.55258426
a_185bt2.wav,359.7650728,624.996901,1126.691624,77.99786566
a_185bt3.wav,318.8724842,730.8019393,1304.181598,81.23377404
a_185bt4.wav,325.1155772,797.2944632,1346.099062,85.07701216
a_191bt1.wav,259.5383699,568.7637412,1633.052634,76.22747277
a_191bt2.wav,251.4472689,588.0571368,1715.375068,74.85887217
a_191bt3.wav,261.3080816,616.0782547,1614.354338,75.25296499
a_191bt4.wav,255.5332835,636.5724736,1627.520499,79.19005671
a_194bt1.wav,328.7110691,696.5781861,1621.442277,74.73896761
a_194bt2.wav,311.8804389,528.687003,1518.394994,75.1799732
a_194bt3.wav,328.1039896,639.6708185,1502.667974,78.99611736
a_194bt4.wav,319.763967,656.2847947,1745.666309,81.065187
a_196bt1.wav,318.6261832,691.1727852,1457.81386,78.26323151
a_196bt2.wav,341.2483272,580.1215727,1625.004588,73.65522034
a_196bt3.wav,329.7339103,685.1549707,1444.820704,77.90419418
a_196bt4.wav,324.7292954,690.6099257,1611.133016,82.19069855
a_201bt1.wav,325.556979,578.5843915,1695.704089,73.5803794
a_201bt2.wav,358.3191895,434.6387264,1975.493248,74.42111829
a_201bt3.wav,338.7036705,587.0235676,1597.443148,74.16860018
a_201bt4.wav,327.6008615,516.6164778,2010.425191,76.93598174
a_205bt1.wav,308.3946159,591.2717886,1583.691372,72.95757308
a_205bt2.wav,322.9953838,392.4842055,1757.504836,68.41542214
a_205bt3.wav,305.0681044,577.0006243,1604.81825,72.33792327
a_205bt4.wav,300.1316748,533.2204924,1632.178268,75.76760541
a_206bt1.wav,281.4340712,556.7329693,1690.831803,77.0602096
a_206bt2.wav,255.4856606,595.0850377,1901.430554,63.62161073
a_206bt3.wav,274.3708322,576.3285744,1629.113699,74.27692733
a_206bt4.wav,278.6058005,543.649668,1764.996679,78.95069838
a_208bt1.wav,272.3107722,534.6243309,1704.24115,78.29228127
a_208bt2.wav,278.4831501,485.487573,1749.905699,74.69861594
a_208bt3.wav,264.0464158,529.2624135,1843.731479,76.79157909
a_208bt4.wav,259.5171,495.1829812,1747.16694,81.58480913
a_209bt1.wav,223.9635857,388.1373905,1725.270684,76.65803977
a_209bt2.wav,230.760861,334.9575303,1675.727079,73.50123428
a_209bt3.wav,217.9603126,413.4161434,1814.271986,78.43109891
a_209bt4.wav,218.197936,442.0656179,1795.001777,80.2911364
a_212bt1.wav,249.8517204,655.3110239,1572.38595,74.92147445
a_212bt2.wav,249.6638987,608.4843095,1579.867419,67.57173255
a_212bt3.wav,252.2644453,683.9877768,1399.274122,76.21221094
a_212bt4.wav,247.7115244,671.3876076,1473.772994,79.60894131
a_214bt1.wav,288.2778098,607.6292083,1432.682635,75.34113471
a_214bt2.wav,291.4799298,569.7334581,1363.117876,65.81578198
a_214bt3.wav,292.079563,568.694222,1282.728384,78.93614577
a_214bt4.wav,275.7380486,599.9953467,1316.114245,82.63185268
a_218bt1.wav,254.6586754,630.5623318,1725.094579,75.58980214
a_218bt2.wav,253.1891149,658.4940246,1785.911375,67.77314923
a_218bt3.wav,257.1082867,688.6769916,1585.878986,70.99933015
a_218bt4.wav,256.9374603,673.8946572,1677.064599,77.73639964
a_21bt1.wav,235.3668477,521.7127347,1790.644605,73.36633953
a_21bt2.wav,232.4276799,541.1763855,1764.300626,72.11827002
a_21bt3.wav,228.4779089,568.0826378,1743.746532,70.95008172
a_21bt4.wav,229.5777643,567.025067,1745.667012,80.32211176
a_224bt1.wav,224.1154127,523.052784,1696.072778,70.54159781
a_224bt2.wav,212.8128472,409.8351702,1523.315257,70.78223065
a_224bt3.wav,213.7658827,545.9103519,1419.935359,76.64960647
a_224bt4.wav,221.9410455,587.9677266,1406.315652,76.62551754
a_225bt1.wav,224.2094811,383.2135006,2199.321275,73.89617047
a_225bt2.wav,224.2064926,470.300221,2237.040779,70.77439239
a_225bt3.wav,213.2838551,413.1503354,2302.901043,76.1528133
a_225bt4.wav,217.3903083,340.5859803,2282.318348,77.78708997
a_226bt1.wav,240.5215757,662.3946091,1517.631731,76.87502065
a_226bt2.wav,238.908756,562.440816,1613.706575,71.70790555
a_226bt3.wav,236.0534174,657.9214867,1435.806396,76.05874606
a_226bt4.wav,232.4702925,664.1300255,1468.660797,80.49398111
a_230bt1.wav,271.1952966,692.6975792,1412.334546,77.88894335
a_230bt2.wav,260.2548616,697.1708742,1458.17222,71.98991495
a_230bt3.wav,267.4369126,765.1336127,1484.845756,67.65104415
a_230bt4.wav,266.0499476,774.2956927,1447.924838,74.14332802
a_234bt1.wav,263.0558108,555.7708047,1646.101652,76.7423305
a_234bt2.wav,255.9404796,533.1427387,1708.012903,72.37082874
a_234bt3.wav,261.0663406,580.8199133,1524.217894,74.0196383
a_234bt4.wav,258.0842641,540.4521407,1546.311455,81.03641414
a_236bt1.wav,250.6940508,542.3912434,1911.724586,74.95435028
a_236bt2.wav,247.1774082,468.9361658,1889.498888,69.41791034
a_236bt3.wav,249.1984832,534.0542492,1843.493151,71.57134259
a_236bt4.wav,253.9288465,520.4807829,1931.984886,78.86108146
a_242bt1.wav,230.9911293,603.5588993,1704.91429,73.77133832
a_242bt2.wav,229.6735274,518.0925956,1720.217856,68.2839013
a_242bt3.wav,227.8603853,531.1249461,1576.885411,72.30207534
a_242bt4.wav,218.4873015,563.5059457,1528.836141,77.81108941
a_246bt1.wav,236.2662402,528.5692207,1785.196865,74.51041164
a_246bt2.wav,227.3011825,405.0766545,1806.650565,71.77015687
a_246bt3.wav,227.7369769,484.3710768,1661.112627,73.93579604
a_246bt4.wav,223.7527617,459.5926243,1654.949117,80.257659
a_250bt1.wav,220.5135882,486.5015453,1750.545119,76.54062585
a_250bt2.wav,222.6476898,295.4184686,1765.459061,72.70441328
a_250bt3.wav,220.3132568,459.2210154,1726.681621,75.41586631
a_250bt4.wav,221.7002322,498.7669783,1776.887994,79.8312909
a_258bt1.wav,307.466006,626.5731647,1269.195753,72.83729734
a_258bt2.wav,333.8433543,383.5403859,1344.685171,69.80182418
a_258bt3.wav,318.655125,517.9371086,1191.993943,73.51064374
a_258bt4.wav,311.3212017,557.6571974,1462.033707,77.28010739
a_259bt1.wav,301.0238173,542.6173682,1685.49146,76.74232236
a_259bt2.wav,297.1054014,404.0448215,1689.207268,73.42983425
